date,day_of_week,is_weekend,month,day_of_year,academic_phase,is_holiday,avg_temp_c,max_temp_c,rainfall_mm,cloud_cover,power_cut_hours,occupancy_total,hostellers_present,day_scholars_present,electricity_kwh,diesel_l,water_l,waste_kg,lpg_kg,solar_kwh_generated,carbon_kg,carbon_kg_next_day
2023-01-01,6,1,1,1,winter_break,1,22.9,29.3,0.0,0.18,0.56,1010,680,82,5539.0,13.9,98883.7,255.8,14.23,840.8,4219.0,4239.3
2023-01-02,0,0,1,2,winter_break,0,23.7,30.3,0.0,0.22,0.11,1010,680,82,5583.0,2.7,103667.1,246.1,15.38,811.6,4239.3,4508.5
2023-01-03,1,0,1,3,winter_break,0,23.0,29.4,0.0,0.12,0,1010,680,82,6054.5,0.0,120568.9,239.0,13.98,884.5,4508.5,8811.3
2023-01-04,2,0,1,4,even_sem_classes,0,24.6,32.0,0.0,0.21,0,7557,3298,3854,9446.3,0.0,596178.1,1799.9,87.1,818.9,8811.3,9819.5
2023-01-05,3,0,1,5,even_sem_classes,0,23.5,29.0,0.0,0.01,0,7557,3298,3854,10087.4,0.0,621113.4,1812.2,86.38,964.7,9819.5,9841.5
2023-01-06,4,0,1,6,even_sem_classes,0,22.8,29.6,0.0,0.09,0,7557,3298,3854,9832.3,0.0,630185.2,1809.9,89.29,906.4,9841.5,7013.0
2023-01-07,5,1,1,7,even_sem_classes,0,21.8,27.4,0.0,0.14,0,3875,3060,410,7145.6,0.0,508789.4,917.8,59.13,869.9,7013.0,6916.7
2023-01-08,6,1,1,8,even_sem_classes,0,21.8,26.8,0.0,0.15,0.16,3875,3060,410,7558.9,4.9,477653.8,938.7,64.08,862.7,6916.7,9356.0
2023-01-09,0,0,1,9,even_sem_classes,0,23.2,29.2,0.0,0.0,0.49,7557,3298,3854,9768.9,18.7,621001.0,1814.1,87.71,972.0,9356.0,10038.9
2023-01-10,1,0,1,10,even_sem_classes,0,22.4,29.9,0.0,0.09,0.2,7557,3298,3854,10198.3,7.6,614267.3,1817.6,86.04,906.4,10038.9,9567.7
2023-01-11,2,0,1,11,even_sem_classes,0,23.6,30.8,0.0,0.12,0.13,7557,3298,3854,9396.2,5.0,684198.1,1774.4,85.06,884.5,9567.7,9875.5
2023-01-12,3,0,1,12,even_sem_classes,0,22.5,28.9,0.0,0.1,0,7557,3298,3854,9902.5,0.0,658590.4,1825.9,86.82,899.1,9875.5,10146.0
2023-01-13,4,0,1,13,even_sem_classes,0,19.7,26.8,0.0,0.14,0.43,7557,3298,3854,10146.3,16.4,676005.0,1822.4,84.87,869.9,10146.0,7173.4
2023-01-14,5,1,1,14,even_sem_classes,1,21.3,27.0,0.0,0.16,0,3500,2890,205,7441.7,0.0,403993.2,853.3,56.14,855.4,7173.4,7078.4
